Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//,910,0,4,8.301114614101147,2.7241999632678926,74.63729998562485,69.0,30.33916732861744,0.0,4,5,6,7,26,36,40,44,75,75,75
,Aggregated,910,0,4,8.301114614101147,2.7241999632678926,74.63729998562485,69.0,30.33916732861744,0.0,4,5,6,7,26,36,40,44,75,75,75
